found,as_link,r_link,sid,rid,subject,type
True,True,True,1,1566,"Account books",topical
True,True,True,1,1380,"Account books",topical
True,True,True,2,2279,"Admirals' spouses",topical
True,True,True,2,2278,"Admirals' spouses",topical
True,True,True,3,1344,"Aeronautics",topical
True,True,True,4,660,"African American veterans",topical
True,True,True,5,1357,"Aids to navigation",topical
True,True,True,6,547,"Airplanes, Military",topical
True,True,True,7,2278,"Airships",topical
True,True,True,8,418,"Alamance Creek, Battle of, N.C., 1771",topical
True,True,True,9,461,"Alcohol as fuel",topical
True,True,True,10,339,"American poetry",topical
True,True,True,11,915,"Anti-submarine warfare",topical
True,True,True,11,918,"Anti-submarine warfare",topical
True,True,True,11,908,"Anti-submarine warfare",topical
True,True,True,11,2325,"Anti-submarine warfare",topical
True,True,True,11,2376,"Anti-submarine warfare",topical
True,True,True,12,2222,"Ardennes, Battle of the, 1944-1945",topical
True,True,True,12,658,"Ardennes, Battle of the, 1944-1945",topical
True,True,True,12,591,"Ardennes, Battle of the, 1944-1945",topical
True,True,True,13,587,"Argonne, Battle of the, France, 1918",topical
True,True,True,13,570,"Argonne, Battle of the, France, 1918",topical
True,True,True,13,502,"Argonne, Battle of the, France, 1918",topical
True,True,True,14,1125,"Armenian question",topical
True,True,True,15,656,"Artificial limbs",topical
True,True,True,16,626,"Atlanta Campaign, 1864",topical
True,True,True,16,647,"Atlanta Campaign, 1864",topical
True,True,True,17,2452,"Authors",topical
True,True,True,18,875,"Authors, American",topical
True,True,True,19,1025,"Aviation ground crews",topical
True,True,True,20,2154,"B-24 (Bomber)",topical
True,True,True,21,635,"Ballads",topical
True,True,True,22,2229,"Bataan Death March, Philippines, 1942",topical
True,True,True,22,643,"Bataan Death March, Philippines, 1942",topical
True,True,True,23,2229,"Bataan, Battle of, Philippines, 1942",topical
True,True,True,24,756,"Bentonville, Battle of, Bentonville, N.C., 1865",topical
True,True,True,25,1119,"Boating accidents",topical
True,True,True,26,925,"Book clubs (Discussion groups)",topical
True,True,True,27,577,"Bristoe Station, Battle of, Va., 1863",topical
True,True,True,28,1017,"Bronze Star Medal (U.S.)",topical
True,True,True,29,508,"Buena Vista, Battle of, Mexico, 1847",topical
True,True,True,30,457,"Bull Run, 1st Battle of, Va., 1861",topical
True,True,True,30,577,"Bull Run, 1st Battle of, Va., 1861",topical
True,True,True,31,647,"Bull Run, 2nd Battle of, Va., 1862",topical
True,True,True,32,353,"Burnside's Expedition to North Carolina, 1862",topical
True,True,True,33,339,"Camp meetings",topical
True,True,True,34,1071,"Capitulations, Military",topical
True,True,True,35,647,"Cedar Mountain, Battle of, Va., 1862",topical
True,True,True,36,814,"Champion Hill, Battle of, Miss., 1863",topical
True,True,True,37,647,"Chancellorsville, Battle of, Chancellorsville, Va., 1863",topical
True,True,True,38,573,"Charleston Earthquake, S.C., 1886",topical
True,True,True,38,580,"Charleston Earthquake, S.C., 1886",topical
True,True,True,39,647,"Cheat Mountain, Battle of, W. Va., 1861",topical
True,True,True,40,2318,"Cherbourg, Battle of, Cherbourg, France, 1944",topical
True,True,True,41,2466,"Child labor",topical
True,True,True,42,2313,"Children of military personnel",topical
True,True,True,43,400,"Choctaw Indians",topical
True,True,True,44,373,"Classical swine fever",topical
True,True,True,45,500,"Cold Harbor, Battle of, Va., 1864",topical
True,True,True,46,558,"Cold War",topical
True,True,True,47,342,"Commercial catalogs",topical
True,True,True,48,2635,"Communicable diseases",topical
True,True,True,49,460,"Compulsory health insurance",topical
True,True,True,50,397,"Confederate Memorial Day",topical
True,True,True,51,619,"Conservation of natural resources",topical
True,True,True,52,2285,"Coral Sea, Battle of the, 1942",topical
True,True,True,52,2309,"Coral Sea, Battle of the, 1942",topical
True,True,True,52,2317,"Coral Sea, Battle of the, 1942",topical
True,True,True,52,2364,"Coral Sea, Battle of the, 1942",topical
True,True,True,52,2346,"Coral Sea, Battle of the, 1942",topical
True,True,True,53,2245,"Courtship",topical
True,True,True,54,2463,"Crocheting",topical
True,True,True,55,2326,"Cuban Missile Crisis, 1962",topical
True,True,True,55,2340,"Cuban Missile Crisis, 1962",topical
True,True,True,55,2353,"Cuban Missile Crisis, 1962",topical
True,True,True,56,907,"Destroyer escorts",topical
True,True,True,56,906,"Destroyer escorts",topical
True,True,True,56,908,"Destroyer escorts",topical
True,True,True,56,920,"Destroyer escorts",topical
True,True,True,56,913,"Destroyer escorts",topical
True,True,True,56,909,"Destroyer escorts",topical
True,True,True,56,915,"Destroyer escorts",topical
True,True,True,56,914,"Destroyer escorts",topical
True,True,True,56,910,"Destroyer escorts",topical
True,True,True,56,921,"Destroyer escorts",topical
True,True,True,56,922,"Destroyer escorts",topical
True,True,True,56,918,"Destroyer escorts",topical
True,True,True,56,2333,"Destroyer escorts",topical
True,True,True,56,2332,"Destroyer escorts",topical
True,True,True,56,2331,"Destroyer escorts",topical
True,True,True,57,2337,"Destroyers (Warships)",topical
True,True,True,57,2336,"Destroyers (Warships)",topical
True,True,True,58,709,"Diaries (Blank-books)",topical
True,True,True,59,1055,"Enigma cipher system",topical
True,True,True,60,355,"Fair Oaks, Battle of, Va., 1862",topical
True,True,True,61,2483,"Families of military personnel",topical
True,True,True,62,2227,"Fighter plane combat",topical
True,True,True,63,1014,"Fletcher Class (Destroyers)",topical
True,True,True,63,1009,"Fletcher Class (Destroyers)",topical
